Tenant ID,Check Date,Actual Individual Payment,Unit ZIP
T82460,7/24/2020,"$2,857.37 ",1520
T82460,7/24/2020,"($2,857.37)",1520
1500022515,7/29/2020,"$3,250.00 ",1850
1500022515,7/29/2020,"($3,250.00)",1850
1500022515,7/30/2020,"($3,250.00)",1850
1500022515,7/30/2020,"$3,250.00 ",1850
1500022515,7/30/2020,"$3,250.00 ",1850
1500022515,7/30/2020,"($3,250.00)",1850
T82690,7/31/2020,"$1,435.78 ",1570
T82690,7/31/2020,"($1,435.78)",1570
1500022515,8/1/2020,"$6,500.00 ",1850
1500022515,8/1/2020,"($3,250.00)",1850
T82481,8/1/2020,"$4,000.00 ",1801
T82470,8/1/2020,"$4,000.00 ",2134
T82502,8/1/2020,"$3,582.88 ",2119
1500022515,8/1/2020,"($6,500.00)",1850
1500022515,8/1/2020,"$3,250.00 ",1850
900024134,8/6/2020,"$1,444.00 ",2375
T82761,8/13/2020,"$4,000.00 ",2302
T82758,8/13/2020,"$3,300.00 ",2360
T82460,8/14/2020,"$4,000.00 ",1520
T82690,8/14/2020,"$1,435.78 ",1570
T83060,8/15/2020,"$4,000.00 ",2120
600112839,8/15/2020,"$4,000.00 ",2124
T81420,8/20/2020,"$4,000.00 ",2721
T83434,8/21/2020,"$2,976.00 ",2124
T82638,8/25/2020,"$1,374.00 ",1824
t82323,8/25/2020,"$3,400.00 ",1844
200045319,8/25/2020,"$3,850.00 ",1844
200041205,8/25/2020,"$1,176.00 ",1841
1500022515,8/25/2020,"$3,250.00 ",1850
1500022515,8/25/2020,"($3,250.00)",1850
200040005,8/31/2020,"$4,000.00 ",1832
T80761,8/31/2020,"$4,000.00 ",1841
T83474,8/31/2020,"$2,800.00 ",1844
T71687,8/31/2020,"$2,099.67 ",1089
T83203,8/31/2020,$486.76 ,1119
T83293,8/31/2020,"$3,500.00 ",1109
T83525,8/31/2020,$423.32 ,1028
T71687,8/31/2020,"($2,099.67)",1089
T83203,8/31/2020,($486.76),1119
T83293,8/31/2020,"($3,500.00)",1109
T83525,8/31/2020,($423.32),1028
T83310,9/1/2020,"$3,574.89 ",2301
T83647,9/1/2020,"$4,000.00 ",2126
T83651,9/1/2020,"$2,996.57 ",2121
T83551,9/1/2020,"$2,250.00 ",1129
T83551,9/1/2020,$950.00 ,1129
T71687,9/1/2020,"$2,099.67 ",1089
T83377,9/1/2020,"$4,000.00 ",1028
T83203,9/1/2020,$486.76 ,1119
T83293,9/1/2020,"$3,500.00 ",1109
T83525,9/1/2020,$423.32 ,1028
T71687,9/1/2020,"($2,099.67)",1089
T83377,9/1/2020,"($4,000.00)",1028
T83203,9/1/2020,($486.76),1119
T83293,9/1/2020,"($3,500.00)",1109
T83525,9/1/2020,($423.32),1028
T71687,9/2/2020,"$2,099.67 ",1089
T83377,9/2/2020,"$4,000.00 ",1028
T83203,9/2/2020,$486.76 ,1119
T59277,9/2/2020,"$2,810.00 ",1109
T83293,9/2/2020,"$3,500.00 ",1109
T83525,9/2/2020,$423.32 ,1028
T83480,9/3/2020,"$3,400.00 ",2346
T83659,9/3/2020,"$3,569.00 ",2048
900035766,9/3/2020,"$3,159.00 ",2633
T83341,9/3/2020,$950.00 ,2561
T82348,9/3/2020,"$3,449.30 ",2631
400025539,9/3/2020,"$3,590.00 ",2664
T82780,9/3/2020,"$3,720.73 ",2649
T82625,9/4/2020,"$4,000.00 ",1960
T82740,9/4/2020,"$3,535.00 ",1906
T82395,9/4/2020,"$4,000.00 ",1906
T83924,9/4/2020,"$4,000.00 ",2151
T83824,9/4/2020,"$4,000.00 ",2121
T83744,9/4/2020,"$4,000.00 ",2171
T84071,9/10/2020,"$4,000.00 ",1060
T83468,9/10/2020,"$3,400.00 ",1002
T83922,9/10/2020,"$4,000.00 ",1056
T84556,9/11/2020,"$4,000.00 ",2121
T82823,9/15/2020,"$2,400.00 ",1960
1500022515,9/15/2020,"$3,250.00 ",1850
T82572,9/15/2020,"$3,033.00 ",1810
200033554,9/15/2020,"$4,000.00 ",1841
T82123,9/15/2020,"$2,878.00 ",1843
1000003645,9/15/2020,"$4,000.00 ",
T83708,9/15/2020,"$4,000.00 ",1844
200019442,9/15/2020,"$2,634.00 ",1840
200031877,9/15/2020,"$3,400.00 ",1844
T79799,9/15/2020,"$4,000.00 ",1835
T83944,9/17/2020,"$4,000.00 ",2301
T84163,9/17/2020,"$4,000.00 ",2301
T84153,9/17/2020,"$3,600.00 ",2301
400025307,9/17/2020,"$3,800.00 ",2536
T84677,9/17/2020,"$4,000.00 ",2632
T83525,9/17/2020,($423.32),1028
T84770,9/18/2020,"$4,000.00 ",2155
T84767,9/18/2020,"$4,000.00 ",2184
T82100,9/18/2020,"$3,600.00 ",1201
T82100,9/18/2020,$400.00 ,1201
T84865,9/24/2020,"$3,698.00 ",2301
T83915,9/24/2020,"$2,400.00 ",2301
T83619,9/24/2020,$921.86 ,1020
T84741,9/24/2020,"$1,450.00 ",1108
T84164,9/29/2020,"$4,000.00 ",1902
T84001,9/29/2020,"$3,159.00 ",1960
T83614,9/29/2020,"$4,000.00 ",1960
T84807,9/30/2020,"$3,310.00 ",1844
200039881,9/30/2020,"$3,975.00 ",1830
T82572,9/30/2020,$967.00 ,1810
t82301,9/30/2020,"$4,000.00 ",1841
T82935,9/30/2020,"$4,000.00 ",1840
200041609,9/30/2020,"$2,230.00 ",1850
T35111,10/1/2020,"$3,250.00 ",1603
T85011,10/1/2020,"$2,220.00 ",1606
T83465,10/1/2020,"$3,737.16 ",1453
T84598,10/1/2020,"$2,396.00 ",2038
T84598,10/1/2020,"$1,198.00 ",2038
T54657,10/1/2020,"$3,285.00 ",1604
T83921,10/1/2020,"$1,663.74 ",1420
T55902,10/1/2020,"$3,800.00 ",1534
T84840,10/1/2020,"$3,592.00 ",2760
T84901,10/1/2020,"$2,836.53 ",2169
T84863,10/1/2020,"$4,000.00 ",2120
T84899,10/1/2020,"$4,000.00 ",2148
T84990,10/1/2020,"$1,650.00 ",2124
T84898,10/1/2020,"$4,000.00 ",2118
T84862,10/1/2020,"$4,000.00 ",2215
T83341,10/1/2020,$750.00 ,2561
T83551,10/1/2020,$800.00 ,1129
500108612,10/1/2020,$913.50 ,1040
T84862,10/1/2020,"($4,000.00)",2215
T83673,10/5/2020,"$3,961.60 ",2072
T84749,10/5/2020,"$4,000.00 ",1742
T84683,10/8/2020,"$4,000.00 ",2370
T85098,10/8/2020,"$4,000.00 ",2720
900026719,10/8/2020,"$1,000.00 ",2346
T85087,10/8/2020,"$4,000.00 ",2703
84632,10/8/2020,"$4,000.00 ",1001
T85031,10/8/2020,"$2,550.00 ",1020
T85031,10/8/2020,$725.00 ,1020
T83642,10/8/2020,"$1,780.00 ",1201
T83642,10/8/2020,$892.00 ,1201
T500086332,10/8/2020,"$3,500.00 ",1109
T83624,10/8/2020,"$2,900.99 ",1085
T83624,10/8/2020,$366.33 ,1085
T83624,10/8/2020,$366.33 ,1085
T83642,10/8/2020,$24.65 ,1201
T83619,10/8/2020,$921.86 ,1020
17040,10/8/2020,"$4,000.00 ",1007
T83854,10/8/2020,"$3,850.00 ",1060
T84692,10/8/2020,"$4,000.00 ",1104
T85437,10/8/2020,"$4,000.00 ",1013
T85705,10/9/2020,"$4,000.00 ",2136
600198261,10/9/2020,"$3,076.00 ",2131
600146201,10/9/2020,"$4,000.00 ",2124
600110878,10/9/2020,"$4,000.00 ",2149
T84862,10/9/2020,"$4,000.00 ",2215
T84877,10/14/2020,"$1,413.00 ",1844
T85728,10/14/2020,"$3,065.00 ",1835
T82503,10/14/2020,"$4,000.00 ",1841
T85295,10/14/2020,"$4,000.00 ",1852
T85721,10/14/2020,"$1,565.00 ",1862
t82943,10/14/2020,"$4,000.00 ",1835
T85451,10/14/2020,"$3,350.00 ",1844
200033416,10/14/2020,"$3,034.00 ",1841
T16065,10/14/2020,"$1,262.48 ",1119
T16065,10/14/2020,"$1,262.41 ",1119
T85635,10/14/2020,"$3,074.75 ",1085
T85153,10/15/2020,"$3,865.84 ",2724
600085937,10/15/2020,"$3,300.00 ",2368
T85617,10/15/2020,"$4,000.00 ",2724
T85498,10/15/2020,"$4,000.00 ",2025
600085910,10/15/2020,"$4,000.00 ",2186
T85623,10/15/2020,"$2,054.00 ",1364
T85102,10/18/2020,"$4,000.00 ",2062
T85320,10/18/2020,"$1,063.23 ",2072
T85320,10/18/2020,"$1,063.23 ",2072
T85597,10/19/2020,"$3,027.00 ",1606
T84666,10/19/2020,"$4,000.00 ",1504
T85386,10/19/2020,"$2,150.00 ",1606
T85385,10/19/2020,"$3,808.85 ",1540
T85259,10/19/2020,$400.00 ,1570
T85259,10/19/2020,"$1,345.66 ",1570
T85486,10/19/2020,"$2,024.91 ",1570
T85486,10/19/2020,$674.97 ,1570
T85436,10/19/2020,"$3,852.00 ",1602
T85649,10/19/2020,"$3,790.55 ",1604
1500023484,10/22/2020,"$2,800.00 ",1020
1500023484,10/22/2020,"$1,200.00 ",1020
T500119917,10/22/2020,"$4,000.00 ",1085
1500023484,10/22/2020,"($2,800.00)",1020
1500023484,10/22/2020,"($1,200.00)",1020
T85424,10/23/2020,"$4,000.00 ",2346
600127188,10/23/2020,"$4,000.00 ",2169
T85951,10/23/2020,"$1,992.08 ",2118
T85943,10/23/2020,"$2,116.00 ",2120
T85919,10/23/2020,"$4,000.00 ",2150
T86054,10/23/2020,"$4,000.00 ",1772
T86355,10/26/2020,$503.09 ,1109
T85548,10/28/2020,"$2,704.00 ",1960
T84952,10/28/2020,"$4,000.00 ",1902
T85076,10/28/2020,"$4,000.00 ",1902
200033714,10/28/2020,"$3,400.00 ",1830
T85851,10/28/2020,"$1,600.00 ",1835
T80214,10/28/2020,"$3,900.00 ",1851
1500027488,10/28/2020,"$4,000.00 ",1830
200018464,10/28/2020,"$1,526.00 ",1810
200032616,10/28/2020,"$3,370.00 ",1852
T85909,10/28/2020,"$2,800.00 ",1840
200041205,10/28/2020,"$1,176.00 ",1841
T85733,10/29/2020,"$2,077.06 ",1057
T86187,10/30/2020,"$4,000.00 ",1545
T83642,10/31/2020,($24.65),1201
T85682,11/1/2020,"$4,000.00 ",2771
T85652,11/1/2020,"$1,402.89 ",2061
T85908,11/1/2020,"$3,525.39 ",2715
T85873,11/1/2020,"$4,000.00 ",2703
T86194,11/1/2020,"$3,413.30 ",1301
T85623,11/1/2020,"$1,027.00 ",1364
T85951,11/1/2020,"$2,003.00 ",2118
T86125,11/1/2020,"$3,100.00 ",2451
T86155,11/1/2020,"$4,000.00 ",2151
T83341,11/1/2020,$750.00 ,2561
T85486,11/1/2020,$674.97 ,1570
T85844,11/5/2020,"$4,000.00 ",1572
1500027195,11/5/2020,"$4,000.00 ",2780
T85773,11/5/2020,"$4,000.00 ",2720
T86127,11/5/2020,"$4,000.00 ",2740
T83947,11/5/2020,"$4,000.00 ",2740
T85716,11/5/2020,"$4,000.00 ",1109
T85031,11/5/2020,$725.00 ,1020
T83948,11/5/2020,"$3,600.00 ",1001
T83642,11/5/2020,$892.00 ,1201
T85836,11/5/2020,"$2,924.00 ",1040
T16065,11/5/2020,"$1,262.41 ",1119
T83619,11/5/2020,$921.86 ,1020
T85733,11/5/2020,$961.47 ,1057
T85507,11/5/2020,$739.83 ,1109
T84847,11/5/2020,"$4,000.00 ",1013
T85409,11/5/2020,"$2,850.00 ",1013
T85409,11/5/2020,$950.00 ,1013
T84588,11/5/2020,"$1,100.00 ",1109
T84588,11/5/2020,"$1,100.00 ",1109
T85506,11/5/2020,"$2,400.00 ",1013
T85506,11/5/2020,$800.00 ,1013
T83624,11/5/2020,$366.33 ,1085
400025353,11/5/2020,"$4,000.00 ",2649
T85678,11/5/2020,$300.00 ,2601
T85678,11/5/2020,"$1,600.00 ",2601
T86339,11/6/2020,"$2,520.00 ",2119
T86340,11/6/2020,"$4,000.00 ",2130
T86331,11/6/2020,"$3,147.17 ",2186
T86552,11/6/2020,"$4,000.00 ",2038
T86319,11/12/2020,"$3,497.46 ",2050
T86272,11/12/2020,"$4,000.00 ",2723
T86408,11/12/2020,"$4,000.00 ",2351
T85764,11/12/2020,"$3,520.00 ",2301
900021775,11/12/2020,"$4,000.00 ",2301
T85686,11/12/2020,"$4,000.00 ",1095
T86486,11/12/2020,"$3,698.44 ",1104
T85860,11/12/2020,"$3,864.00 ",1040
T83587,11/12/2020,"$3,460.00 ",1089
T77564,11/12/2020,"$1,397.24 ",1020
T85417,11/12/2020,"$4,000.00 ",1020
T80276,11/12/2020,"$2,073.58 ",2601
T86669,11/13/2020,"$1,800.00 ",2169
1500011554,11/13/2020,"$4,000.00 ",2120
T86579,11/13/2020,"$4,000.00 ",2124
T86802,11/13/2020,"$4,000.00 ",1453
T86176,11/13/2020,"$4,000.00 ",1970
200044711,11/13/2020,"$2,400.00 ",1841
T85433,11/13/2020,"$1,245.00 ",1960
T85081,11/13/2020,"$4,000.00 ",1905
T86142,11/16/2020,"$4,000.00 ",2090
T86183,11/16/2020,"$4,000.00 ",1702
T86147,11/16/2020,"$3,100.00 ",1748
T86280,11/16/2020,"$1,210.00 ",1841
T86180,11/16/2020,"$2,526.00 ",1852
200018464,11/16/2020,"$2,474.00 ",1810
T86366,11/16/2020,"$4,000.00 ",1832
T76604,11/16/2020,"$2,700.00 ",1950
T86277,11/16/2020,"$4,000.00 ",1876
T85087,11/16/2020,"($4,000.00)",2703
T85604,11/19/2020,$700.00 ,1151
T85785,11/19/2020,"$2,830.00 ",1089
T85756,11/19/2020,$397.00 ,1103
T85756,11/19/2020,"$1,599.00 ",1103
T86565,11/19/2020,"$4,000.00 ",2324
T86537,11/19/2020,"$4,000.00 ",2302
T85087,11/19/2020,"$4,000.00 ",2703
T86827,11/20/2020,"$3,900.00 ",2126
T86795,11/20/2020,"$4,000.00 ",2124
T86256,11/25/2020,"$4,000.00 ",2601
T87064,11/26/2020,"$4,000.00 ",1826
T86180,11/26/2020,$922.00 ,1852
T86858,11/26/2020,"$4,000.00 ",1830
T86261,11/30/2020,$800.00 ,1109
T87048,11/30/2020,$800.00 ,1085
T87179,11/30/2020,"$1,625.00 ",1129
T86422,11/30/2020,"$3,084.48 ",1108
T84960,11/30/2020,"$4,000.00 ",1077
T86355,11/30/2020,"$1,629.48 ",1109
900025874,12/1/2020,"$2,160.00 ",2740
600198727,12/1/2020,"$4,000.00 ",2382
900030760,12/1/2020,"$4,000.00 ",2375
T86848,12/1/2020,"$4,000.00 ",2370
T85955,12/1/2020,"$2,221.65 ",2324
T86972,12/1/2020,$936.40 ,2119
T85976,12/1/2020,"$3,321.00 ",1606
T86966,12/1/2020,"$1,135.50 ",1475
T86966,12/1/2020,"$1,135.00 ",1475
T86296,12/1/2020,"$4,000.00 ",1540
T83341,12/1/2020,$750.00 ,2561
T85678,12/1/2020,$300.00 ,2601
T86966,12/1/2020,"($1,135.50)",1475
T86966,12/1/2020,"($1,135.00)",1475
T86373,12/3/2020,"$3,949.00 ",2188
T83818,12/3/2020,$600.00 ,2746
T83818,12/3/2020,$600.00 ,2746
T83818,12/3/2020,$600.00 ,2746
T83818,12/3/2020,"$1,800.00 ",2746
T85620,12/3/2020,"$2,186.00 ",2780
900030077,12/3/2020,"$4,000.00 ",2301
T86406,12/3/2020,"$1,169.00 ",2601
T86868,12/3/2020,"$2,050.00 ",2645
T87048,12/4/2020,$800.00 ,1085
T85733,12/4/2020,$961.47 ,1057
T87410,12/4/2020,"$3,650.00 ",1089
T86790,12/4/2020,"$4,000.00 ",1104
T85506,12/4/2020,$800.00 ,1013
T87179,12/4/2020,"$1,250.00 ",1129
T85756,12/4/2020,"$1,599.00 ",1103
T86704,12/5/2020,"$4,000.00 ",1760
T87155,12/8/2020,"$4,000.00 ",2119
T87156,12/8/2020,"$3,475.00 ",2120
T87157,12/8/2020,$750.00 ,2150
T87157,12/8/2020,"$1,500.00 ",2150
T86718,12/9/2020,"$4,000.00 ",1960
T86402,12/9/2020,"$4,000.00 ",1960
1000008502,12/9/2020,"$1,430.00 ",1938
T85575,12/9/2020,"$4,000.00 ",1923
T82426,12/9/2020,"$4,000.00 ",1905
T82740,12/9/2020,$435.00 ,1906
T87006,12/10/2020,"$1,399.00 ",1085
T87006,12/10/2020,"$1,399.00 ",1085
T87086,12/10/2020,"$3,950.00 ",1089
1500023484,12/10/2020,"$2,800.00 ",1020
1500023484,12/10/2020,"$1,200.00 ",1020
T86066,12/10/2020,"$3,440.00 ",1089
T86391,12/10/2020,$950.00 ,1089
T86391,12/10/2020,$762.50 ,1089
600196359,12/10/2020,"$4,000.00 ",2368
T86504,12/10/2020,"$4,000.00 ",2364
T87377,12/10/2020,"$1,050.00 ",2721
T87220,12/10/2020,"$4,000.00 ",2302
T61726,12/11/2020,"$4,000.00 ",1510
T86936,12/14/2020,"$4,000.00 ",2536
T76604,12/14/2020,"$1,300.00 ",1950
200033883,12/14/2020,"$3,900.00 ",1843
T87707,12/15/2020,"$4,000.00 ",2169
T87575,12/15/2020,"$1,654.00 ",2127
600227356,12/15/2020,"$3,785.00 ",2121
T87892,12/15/2020,"$4,000.00 ",2119
T83939,12/15/2020,"$1,430.00 ",1230
T83939,12/15/2020,$980.00 ,1230
900037010,12/16/2020,"$2,895.00 ",2723
T87364,12/16/2020,"$3,800.00 ",2301
T86950,12/16/2020,"$4,000.00 ",2301
T87448,12/16/2020,"$1,845.50 ",2360
T86297,12/16/2020,"$4,000.00 ",2301
T87890,12/16/2020,"$4,000.00 ",2301
T87719,12/16/2020,"$2,173.00 ",2190
T87730,12/16/2020,"$4,000.00 ",2188
T87997,12/16/2020,"$3,575.00 ",1432
T55852,12/16/2020,"$3,426.00 ",1608
T87061,12/18/2020,"$4,000.00 ",1752
T87067,12/18/2020,"$2,009.03 ",2062
T87942,12/18/2020,"$1,758.04 ",2601
T87091,12/18/2020,"$2,800.00 ",2646
T88132,12/18/2020,"$2,905.00 ",1440
T82690,12/18/2020,"$1,128.44 ",1570
T60157,12/18/2020,"$3,093.54 ",1420
T60157,12/18/2020,"($3,093.54)",1420
T88227,12/21/2020,"$3,324.00 ",1109
T86844,12/21/2020,$876.53 ,1118
T86844,12/21/2020,$903.51 ,1118
500114642,12/21/2020,"$4,000.00 ",1118
T83650,12/21/2020,"$2,701.00 ",1085
T83650,12/21/2020,"$1,167.00 ",1085
T86437,12/21/2020,"$4,000.00 ",1040
T88306,12/22/2020,"$3,550.00 ",2151
T88307,12/22/2020,"$3,600.00 ",2151
T88305,12/22/2020,"$1,858.00 ",2128
T88304,12/22/2020,"$4,000.00 ",2124
600220788,12/22/2020,"$3,733.00 ",2129
T88435,12/22/2020,"$4,000.00 ",2136
T87545,12/23/2020,"$4,000.00 ",2048
T87351,12/23/2020,"$2,538.32 ",2664
1500023424,12/24/2020,"$4,000.00 ",1902
T87396,12/24/2020,"$1,998.00 ",1904
T81030,12/29/2020,"$4,000.00 ",2673
T87934,12/29/2020,"$1,705.00 ",1830
T88379,12/29/2020,$950.00 ,1854
1200023769,12/29/2020,"$3,900.00 ",1851
T57035,12/29/2020,"$4,000.00 ",1852
T88634,12/29/2020,"$1,511.00 ",1852
1500023279,12/29/2020,"$3,725.00 ",1835
T88085,12/29/2020,"$3,150.00 ",1854
1200023769,12/29/2020,"($3,900.00)",1851
T86355,12/31/2020,($503.09),1109
T87433,1/1/2021,$910.29 ,1201
T87433,1/1/2021,$910.29 ,1201
T83939,1/1/2021,$980.00 ,1230
T82644,1/1/2021,"$4,000.00 ",1201
100026338,1/1/2021,"$3,144.17 ",1201
T83798,1/1/2021,"$4,000.00 ",1201
T88584,1/1/2021,"$4,000.00 ",2347
900037010,1/1/2021,$550.00 ,2723
T86734,1/1/2021,"$4,000.00 ",2375
T88785,1/1/2021,"$4,000.00 ",2301
T88404,1/1/2021,"$2,600.00 ",2301
T88404,1/1/2021,$700.00 ,2301
T88056,1/1/2021,"$4,000.00 ",2346
T87719,1/1/2021,$504.00 ,2190
900028799,1/1/2021,"$2,900.00 ",2740
T88679,1/1/2021,"$4,000.00 ",2121
T88705,1/1/2021,"$4,000.00 ",2138
T88813,1/1/2021,"$4,000.00 ",2151
T83341,1/1/2021,$750.00 ,2561
T87942,1/1/2021,$250.00 ,2601
T85678,1/1/2021,$300.00 ,2601
T88616,1/1/2021,"$1,270.00 ",1301
T88616,1/1/2021,$635.00 ,1301
T86959,1/1/2021,"$4,000.00 ",1604
T86966,1/1/2021,"$1,135.00 ",1475
T88132,1/1/2021,$505.00 ,1440
T87396,1/1/2021,"$1,998.00 ",1904
T88705,1/1/2021,"($4,000.00)",2138
T88087,1/5/2021,"$4,000.00 ",2021
T87928,1/5/2021,"$4,000.00 ",1760
T87693,1/5/2021,"$4,000.00 ",2062
600140863,1/5/2021,"$2,204.00 ",2494
T87865,1/5/2021,"$4,000.00 ",2062
900031894,1/7/2021,"$2,632.00 ",2301
900031894,1/7/2021,$456.00 ,2301
